Age,Gender,StudyTimeWeekly,Absences,Tutoring,Extracurricular,Sports,Music,Volunteering,Ethnicity_0,Ethnicity_1,Ethnicity_2,Ethnicity_3,ParentalEducation_0,ParentalEducation_1,ParentalEducation_2,ParentalEducation_3,ParentalEducation_4,ParentalSupport_0,ParentalSupport_1,ParentalSupport_2,ParentalSupport_3,ParentalSupport_4,GradeClass

0.4729190115431414,1,1.7803355189521388,-0.8908223715622926,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2.0

1.362944405415047,0,0.9973762482121091,-1.7176935833500317,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0

-1.30713177620067,0,-0.9840451409833825,1.3535423461472853,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4.0

0.4729190115431414,1,0.04544516505111627,-0.06395115977455339,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0

0.4729190115431414,1,-0.9023114520899039,0.2904222167059063,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0

1.362944405415047,0,-0.27970406053170993,-1.7176935833500317,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0

-1.30713177620067,0,1.0315125413772945,-0.536448995081833,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2.0

-1.30713177620067,1,1.000161348151086,0.8810445108400057,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4.0

0.4729190115431414,0,-0.9218612895351413,-1.599569124523212,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0

-0.41710638232876435,1,1.534518708607826,-1.7176935833500317,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0

0.4729190115431414,0,0.3679266916912635,-0.41832453625501304,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3.0

0.4729190115431414,0,-0.38458294638771384,0.0541732990522665,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4.0

0.4729190115431414,0,0.04719372382235794,0.7629200520131858,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4.0

0.4729190115431414,0,0.4121728776841227,0.7629200520131858,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0

1.362944405415047,1,0.25228618559498733,-0.6545734539086528,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0

-1.30713177620067,0,-0.007766166547230022,0.2904222167059063,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4.0

1.362944405415047,0,0.057800374255761684,-0.06395115977455339,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3.0

1.362944405415047,1,-1.104777759048223,0.17229775787908638,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4.0

